listing_id,update_time,listing_name,location_address,orgnization,orgnization_1,orgnization_2,orgnization_3,orgnization_4,orgnization_888,orgnization_1_desc,orgnization_2_desc,orgnization_3_desc,orgnization_4_desc,orgnization_other_desc,listing_desc,location_x,location_y,location_desc,location_site,location_site_otherdesc,location_indoor,specialproductionmethods,specialproductionmethods_1,specialproductionmethods_2,specialproductionmethods_3,specialproductionmethods_4,specialproductionmethods_5,specialproductionmethods_6,specialproductionmethods_7,specialproductionmethods_8,specialproductionmethods_9,specialproductionmethods_10,specialproductionmethods_11,specialproductionmethods_12,specialproductionmethods_13,specialproductionmethods_14,specialproductionmethods_888,specialproductionmethods_other_desc,saleschannel_onlineorder,saleschannel_onlineorder_1,saleschannel_onlineorder_2,saleschannel_onlineorder_3,saleschannel_onlineorder_2_desc,saleschannel_onlineorder_3_desc,saleschannel_onlineorder_other_desc,saleschannel_phoneorder,saleschannel_csaorder,saleschannel_csaorder_1,saleschannel_csaorder_2,saleschannel_csaorder_3,saleschannel_csaorder_1_desc,saleschannel_csaorder_2_desc,saleschannel_csaorder_3_desc,saleschannel_csa_vendor,saleschannel_csa_vendor_1,saleschannel_csa_vendor_2,saleschannel_deliverymethod,saleschannel_deliverymethod_1,saleschannel_deliverymethod_2,saleschannel_deliverymethod_3,saleschannel_deliverymethod_2_desc,acceptedpayment,acceptedpayment_1,acceptedpayment_2,acceptedpayment_3,acceptedpayment_4,acceptedpayment_5,acceptedpayment_6,acceptedpayment_7,acceptedpayment_888,acceptedpayment_7_desc,acceptedpayment_other_desc,FNAP,FNAP_1,FNAP_2,FNAP_3,FNAP_4,FNAP_5,FNAP_888,SNAP_option,SNAP_option_1,SNAP_option_2,FNAP_3_desc,webscriping,bulktable_id,bulktable_row_id,Parsed_Address,Parsed_City,Parsed_State,Parsed_Zip
300002,2020-08-03 13:44:04,Colorado Farm and Art Market,"7350 Pine Creek Road, Colorado Springs, Colorado 80919",,,,,,,,,,,,,-104.81468,38.9377160,"Behind the patio of the Margarita at Pine Creek, located off Woodmen road just West of I-25.",Private business parking lot;,A restaurant--The Margarita at Pine Creek,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,SNAP;Accept EBT at a central location;;,0,1,0,0,0,0,Accept EBT at a central location;,1,0,,,,,7350 Pine Creek Road,Colorado Springs,Colorado,80919
300003,2020-08-03 09:33:29,Market in The Park,"300 Conti, Mobile, Alabama 36602",,,,,,,,,,,,,-88.045015,30.690350,"Cathedral Square, located in downtown Mobile, bordered by Conti, Jackson, Dauphin, and Claiborne Streets.",Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,Senior Farmers Market Nutrition Program;,0,0,0,0,1,0,,0,0,,,,,300 Conti,Mobile,Alabama,36602
300004,2020-09-10 16:27:17,The Territory Farmers' Market,"2000 Territory Drive, Galena, Illinois 61036",,,,,,,,,,,,,-90.313530,42.404443,Parking lot at The Galena Territory Association Owners' Club facility.,Private business parking lot;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,,0,0,,,,,2000 Territory Drive,Galena,Illinois,61036
300005,2021-01-26 12:51:03,City of Plymouth Farmers Market,"15500 County Road 6, Plymouth, Minnesota 55447",,,,,,,,,,,,,-93.473419,44.997274,,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,,0,0,,,,,15500 County Road 6,Plymouth,Minnesota,55447
300006,2020-09-10 19:12:47,Durham Farmers' Market,"501 Foster Street, Durham, North Carolina 27701",,,,,,,,,,,,,-78.901856,36.000559,In and around the Pavilion at Durham Central Park.,,City Park (Durham Central Park).,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,1,1,0,0,1,0,Accept EBT at a central location;,1,0,,,,,501 Foster Street,Durham,North Carolina,27701
300008,2021-01-05 10:18:30,"Webster's Joe Obbie Farmers' Market, Inc.","1028 Ridge Road, Webster Towne Center, Webster, New York 14580",,,,,,,,,,,,,-77.452948,43.212229,"In the Plaza parking lot, near the Gazebo",,shopping plaza parking lot,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,1,1,0,0,1,0,Accept EBT at a central location;,1,0,,,,,1028 Ridge Road,Webster Towne Center,New York,14580
300009,2021-01-25 12:18:55,Appleton Downtown Farm Market,"100 College Avenue, Appleton, Wisconsin 54911",,,,,,,,,,,,,-88.40703,44.26201,"Downtown Appleton on College Avenue, between Appleton and Drew Streets; plus Houdini Plaza.",Closed-off public street;,,Part of the time the market is open indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC Farmers Market;WIC;SNAP;Accept EBT at a central location;;,1,1,0,1,0,0,Accept EBT at a central location;,1,0,,,,,100 College Avenue,Appleton,Wisconsin,54911
300010,2021-01-27 19:55:24,Bastrop 1832 Farmers Market,"1302 Chestnut Street, Bastrop, Texas 78602",,,,,,,,,,,,,-97.311627,30.111777,"Indoor Market in big metal barn, next to Bastrop Convention Center, across from Bastrop City Hall. At corner of Chestnut St. and Fayette St. by the railroad tracks.",Local government building grounds;,,Entire time the market is open indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,SNAP;Some/all market vendors will accept EBT through individual POS;;,0,1,0,0,0,0,Some/all market vendors will accept EBT through individual POS;,0,1,,,,,1302 Chestnut Street,Bastrop,Texas,78602
300013,2021-02-01 11:04:59,Alexandria Bay Farmers Market,"Route 12, Alexandria Bay, New York 13607",,,,,,,,,,,,,-75.916118,44.331171,Kinney Drugs parking lot,Private business parking lot;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC;SNAP;Some/all market vendors will accept EBT through individual POS;;,1,1,0,0,0,0,Some/all market vendors will accept EBT through individual POS;,0,1,,,,,Route 12,Alexandria Bay,New York,13607
300016,2021-02-02 08:14:10,Clarence Hollow Farmers' Market,"New Town lot, 10717 Main St. (route 5), Clarence, New York 14031",,,,,,,,,,,,,-78.58945,42.98032,"Market Lot   10717 Main StreetEast of Ransom Road   Clarence, NY",Private business parking lot;,Town owned Parking Lot,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC Farmers Market;Senior Farmers Market Nutrition Program;,0,0,0,1,1,0,,0,0,,,,,New Town lot,10717 Main St. (route 5),New York,14031
